Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"386776363765",Blue + White Genuine Gemstone Round Handmade Beaded Fashion Stretch Bracelet,,Blue + White Genuine Gemstone Round Handmade Beade,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 13:49:28 PST","Aug-14-24 13:49:28 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386776367327",Cream And Brown Genuine Round Handmade Gemstone Beaded Stretch Fashion Bracelet ,,Cream And Brown Genuine Round Handmade Gemstone Be,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 13:52:27 PST","Aug-14-24 13:52:27 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386776385755",Long Genuine Howlite Oval Beaded Handmade Artisan Fashion Necklace 15”inch,,Long Genuine Howlite Oval Beaded Handmade Artisan,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 13:58:14 PST","Aug-14-24 13:58:14 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776394661",Three Strand Genuine Gemstone Beaded With Oval Tigers Eye Stone Pendant Necklace,,Three Strand Genuine Gemstone Beaded With Oval Tig,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","","","Feb-14-24 14:02:22 PST","Aug-14-24 14:02:22 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386776405801",Long Silver Tone Chain + Real Genuine Handmade Quartz Pendant Fashion Necklace,,Long Silver Tone Chain + Real Genuine Handmade Qua,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","1","","Feb-14-24 14:07:17 PST","Aug-14-24 14:07:17 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776413382",Red Crimson Lucite Faux Gemstone Chunky Beaded Fashion Necklace 9”inch,,Red Crimson Lucite Faux Gemstone Chunky Beaded Fas,"1","FIXED_PRICE","USD",11.0,,,11.0,"0","","2","","Feb-14-24 14:11:59 PST","Aug-14-24 14:11:59 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776430073",Blue Faux Torquise Handmade Artisan Beaded Stone Fashion Necklace 12”inch,,Blue Faux Torquise Handmade Artisan Beaded Stone F,"1","FIXED_PRICE","USD",13.5,,,13.5,"0","","","","Feb-14-24 14:15:58 PST","Aug-14-24 14:15:58 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386776442815",Heavy Black Handmade Artisan Round Beaded On String Fashion Necklace 14”inch,,Heavy Black Handmade Artisan Round Beaded On Strin,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 14:24:13 PST","Aug-14-24 14:24:13 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776450266",Unique Heavy Weighted Black And Metallic Cylinder Beaded Fashion Necklace 15”in,,Unique Heavy Weighted Black And Metallic Cylinder,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 14:27:49 PST","Aug-14-24 14:27:49 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776484994","Genuine Handmade Artisan Dyed Quartz White,pink,green,yellow Round Bead Necklace",,"Genuine Handmade Artisan Dyed Quartz White,pink,gr","1","FIXED_PRICE","USD",12.5,,,12.5,"0","","","","Feb-14-24 14:43:59 PST","Aug-14-24 14:43:59 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
